Player,Tm,MP,3PA,3P%,2PA,2P%,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,TS%,USG%,DBPM,G
Nick Young,LAL,585,12.7,0.405,7.4,0.562,3.5,0.905,1,3.7,2.2,0.7,0.7,1.2,5.1,26.9,0.622,19.9,-3.6,
Jamal Murray,DEN,588,9.6,0.362,10,0.4,3.4,0.829,1.5,5.1,4.5,1,0.7,3.3,3.8,21.2,0.504,20.9,-1.7,
Luc Mbah a Moute,LAC,590,3.5,0.415,6.2,0.534,3.6,0.651,1.8,3.3,0.7,2.8,1.1,1.6,3,13.3,0.591,11.4,2.2,
J.R. Smith,CLE,590,11.3,0.358,3.7,0.273,0.8,0.778,0.7,3,2.2,2.2,0.8,1.3,3.8,14.8,0.481,14.7,0.4,
Kenneth Faried,DEN,592,0.2,0,14.2,0.547,7.7,0.699,7.3,10.4,1.8,1.9,2.2,2.6,4.8,20.9,0.586,17.5,1.4,
D.J. Augustin,ORL,593,10.1,0.364,8.5,0.444,4.4,0.846,0.3,3.3,7.3,1.3,0,2.8,3.8,22.3,0.544,20.6,-3.3,
Tony Allen,MEM,599,1.2,0.214,15.9,0.486,4.4,0.667,4.5,5.8,1.8,3.4,1,2.8,5,19.2,0.504,19.1,3,
Mike Conley,MEM,604,8.7,0.422,13.2,0.419,8.6,0.881,0.6,4.8,9.1,2.3,0.9,3.6,2.6,29.7,0.577,25.7,0.5,
Marvin Williams,CHO,605,9.5,0.353,8,0.398,2.5,0.767,1.9,8.4,2.3,0.8,0.6,1.2,2.8,18.4,0.493,17.8,-0.5,
Trey Lyles,UTA,607,9,0.298,11.4,0.496,2.7,0.806,2.3,8.1,3.3,1,1,2.9,3.9,21.6,0.499,22.2,0,
Larry Nance Jr.,LAL,607,0.9,0.091,10.6,0.617,2,0.72,3.3,8.7,2.8,2.5,1.4,1.6,5,14.8,0.597,12.2,2,
Thabo Sefolosha,ATL,614,3.3,0.286,9.1,0.548,2.2,0.714,1.8,7.1,3.6,3.7,0.9,2.1,2.5,14.4,0.537,13.8,3.4,
Timofey Mozgov,LAL,616,0.1,0,14.6,0.535,3.7,0.787,5.1,6.2,2,0.6,1.1,3.2,5.8,18.5,0.569,17,-1.2,
Tim Hardaway,ATL,618,10.5,0.308,10.9,0.561,5,0.651,0.6,3.4,3.8,1,0.5,2,2.3,25.2,0.534,22.7,-2.7,
Seth Curry,DAL,622,8,0.347,10,0.492,1.7,0.7,0.7,4.1,5.7,2.1,0.3,2.5,3.5,19.4,0.516,19.1,-0.5,
Patty Mills,SAS,623,10.6,0.426,7.9,0.542,3,0.946,0.8,3.5,8.1,1.8,0,3,3.1,24.9,0.63,20.4,-2,
Matt Barnes,SAC,624,8,0.293,6.1,0.453,2.5,0.71,1.9,7.7,5.1,1.6,0.8,3.2,4.9,14.3,0.472,16.2,0.8,
Jared Dudley,PHO,628,7,0.457,5.2,0.536,2.6,0.618,1.2,6.4,3.6,1.5,0.5,2.7,5.5,16.8,0.628,14.2,0,
Langston Galloway,NOP,628,11.7,0.367,9.5,0.41,2.1,0.741,1.1,4.3,3.4,2.3,0.1,1.6,3.1,22.2,0.502,21.5,-1.5,
Shelvin Mack,UTA,634,5.4,0.338,11.4,0.504,3,0.694,0.8,4.5,7.6,2.2,0,4.5,4.2,19.1,0.526,20.5,-0.1,
Joe Harris,BRK,635,9.2,0.379,6.3,0.541,2.8,0.757,0.4,5.6,2.4,1.6,0.1,2.5,5.2,19.4,0.579,17.2,-1.9,
Gerald Henderson,PHI,637,4.3,0.382,11.5,0.493,3.2,0.805,1,4.4,3.3,1.6,0.3,1.9,4,18.9,0.547,17,-0.8,
Garrett Temple,SAC,637,6.7,0.405,5.5,0.464,2.1,0.885,1.1,4.4,4.4,2.3,1.1,2.1,3.6,15,0.575,13.4,0.9,
Austin Rivers,LAC,639,6.4,0.415,9.4,0.479,3.5,0.644,0.4,3.4,4.3,1.4,0.3,1.9,4.8,19.3,0.554,17.2,-0.8,
Brandon Jennings,NYK,644,6.8,0.307,8.4,0.431,4.5,0.814,0.8,4.9,10.9,2,0,4.2,2.9,17.2,0.5,18.5,-2.1,
E'Twaun Moore,NOP,645,5.4,0.338,12.5,0.479,2,0.741,0.8,3.3,5.5,1.4,0.6,2.3,3.6,19,0.504,19.1,-1.2,
Cody Zeller,CHO,647,0,,13.7,0.587,7,0.648,3.8,8.2,2.3,1.1,2.2,2.1,6.4,20.6,0.614,17,2.2,
Dario Saric,PHI,648,7.3,0.368,11.3,0.395,3.3,0.767,2.2,9.8,3.4,0.8,0.5,4.1,4,19.5,0.487,21.4,-0.7,
Brandon Knight,PHO,649,6.3,0.326,16.5,0.391,7,0.844,1.2,4.1,5.6,1.2,0,3.8,3.2,25,0.483,26.2,-2.9,
Ricky Rubio,MIN,655,3.7,0.25,5.6,0.438,4.2,0.818,2.1,4.5,10.7,2.4,0.2,3.1,4.2,11.2,0.499,12.4,-0.6,
Frank Kaminsky,CHO,658,8.3,0.291,11.5,0.441,3.7,0.673,1.7,7.5,5.1,1.1,0.8,2.1,2.5,19.8,0.464,21.1,0.1,
Ersan Ilyasova,PHI,659,9.6,0.367,11.1,0.537,4.3,0.807,1.9,9.8,3,0.8,0.4,2.3,4.1,26,0.575,22.2,-1.4,
Kent Bazemore,ATL,661,7.1,0.289,12.7,0.41,3.7,0.76,1.3,4.9,4.6,2.6,1.1,3.2,4,19.4,0.452,21.9,0.8,
Andre Iguodala,GSW,665,4.7,0.308,5.3,0.589,1.7,0.565,1.1,5.8,6.6,1.6,0.7,1.2,2.7,11.5,0.537,10.6,0.8,
Jeff Green,ORL,672,6.9,0.297,10.7,0.444,4.7,0.839,1.1,5.7,3,0.8,0.5,2.6,2.9,19.5,0.498,19.6,-1.5,
Joe Johnson,UTA,675,6.9,0.386,9.8,0.468,2.4,0.806,0.9,6.4,4.2,1,0.3,1.8,2.6,19.1,0.538,17.7,-0.1,
Ty Lawson,SAC,677,3.8,0.314,9.7,0.415,3.1,0.762,1.6,4,8.9,2.5,0.2,3.6,3.1,14,0.471,16.3,-0.3,
